customerID,gender,SeniorCitizen,MaritalStatus,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,InternationalPlan,VoiceMailPlan,NumbervMailMessages,TotalDayMinutes,TotalDayCalls,TotalEveMinutes,TotalEveCalls,TotalNightMinutes,TotalNightCalls,TotalIntlMinutes,TotalIntlCalls,CustomerServiceCalls,TotalCall,TotalRevenue,Churn
0036-IHMOT,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),No,Yes,17,214.7,97,138.5,90,169.1,44,8.6,4,1,236,5656.8,No
0040-HALCW,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No,Yes,23,114.3,102,190.3,103,240.4,111,12.6,7,3,326,1090.6,No
0042-JVWOJ,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),No,Yes,27,156.7,51,236.5,118,123.2,111,12.6,6,2,288,471.9,No
0042-RLHYP,Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No,No,0,310.4,97,66.5,123,246.5,99,9.2,10,4,333,1396.9,No
0048-LUMLS,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),Yes,No,0,244.6,89,188.8,80,206,114,11.3,4,1,288,3247.6,No
0048-PIHNL,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),No,No,0,189.5,122,103.8,95,180.6,106,10.8,5,2,330,900.9,No
0052-YNYOT,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,Yes,No,0,250.8,146,152.5,105,148.1,104,10,5,2,362,1343.4,No
0064-SUDOG,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No,Yes,27,154.1,122,195.3,150,276.7,86,13.2,2,4,364,224.5,No
0067-DKWBL,Male,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,No,No,0,234.2,128,293.1,92,183.9,79,9.8,6,0,305,91.1,Yes
0068-FIGTF,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,No,Yes,21,262.9,135,149.5,96,140.5,109,8.1,4,1,345,2079.0,No
0074-HDKDG,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),No,No,0,184,120,120.4,119,153.7,86,11,3,0,328,1611.0,No
0078-XZMHT,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,Yes,27,196.6,89,180.6,95,245,83,6.6,5,1,273,6316.2,No
0080-EMYVY,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),No,No,0,128.7,78,240.8,133,237.7,121,12.8,6,1,339,727.9,No
0080-OROZO,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,No,Yes,16,149.4,111,131.8,113,132.7,87,6.7,2,0,313,3532.0,No
0082-LDZUE,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,No,Yes,30,186.2,117,286.7,76,164.3,113,12.9,3,2,311,44.3,No
0082-OQIQY,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,No,0,211.7,107,271.7,77,203.3,108,7.4,7,0,299,2607.6,No
0093-EXYQL,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,Yes,24,175.8,139,155,98,180.7,64,7.8,5,2,308,3673.6,No
0094-OIFMO,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,No,0,250.2,121,267.1,118,151,114,13,2,1,356,1120.3,Yes
0098-BOWSO,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,No,Yes,18,106.4,109,108.1,113,208.4,111,10.1,5,1,339,529.8,No
0104-PPXDV,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),No,Yes,24,142.1,124,183.4,129,164.8,114,9.6,4,1,372,2878.6,No
0107-WESLM,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,Yes,Yes,15,160,95,209.5,110,82.3,107,8.7,5,5,322,19.9,Yes
0111-KLBQG,Male,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,No,No,0,147.1,91,190.4,107,195.2,115,12.2,3,0,316,2861.5,No
0114-RSRRW,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),No,No,0,234.5,109,216.5,129,191.6,94,3.5,6,3,341,187.8,No
0118-JPNOY,Female,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),No,No,0,208.3,89,169.4,67,102,90,15.9,4,3,253,2193.7,No
0123-CRBRT,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,No,Yes,35,118,103,167.2,106,205.7,102,11.8,2,2,315,5526.8,No
0125-LZQXK,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,No,0,236.8,141,265.3,101,152.4,77,9.5,2,1,322,1554.0,Yes
0129-KPTWJ,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,Yes,20,133.3,63,184.1,123,272.9,107,13.5,2,1,296,6747.4,No
0129-QMPDR,Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),No,Yes,27,241.7,87,142,101,288.9,68,9.4,4,1,261,865.1,No
0133-BMFZO,Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,Yes,No,0,122.3,83,118.8,94,147.9,95,13.7,3,3,278,181.7,Yes
0134-XWXCE,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),No,No,0,137.4,109,237.6,49,206.7,136,14,11,3,308,3268.1,No
0139-IVFJG,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,No,No,0,94.1,136,280.3,122,205,77,9.8,4,0,339,190.5,No
0142-GVYSN,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,No,Yes,31,197.2,118,249.9,70,298.9,104,3.9,2,0,294,511.3,No
0151-ONTOV,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,No,No,0,236.2,135,273.9,88,227,77,10.1,6,2,308,70.9,Yes
0164-XAIRP,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),No,No,0,101.1,119,214.4,67,179.5,112,10.3,5,2,305,470.2,No
0177-PXBAT,Male,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),No,No,0,195.9,111,227,108,313.2,113,13.2,1,2,335,3694.7,No
0178-CIIKR,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,No,0,122,92,138.3,114,224.2,128,5.8,5,1,340,58.0,No
0181-RITDD,Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,No,Yes,24,149.4,74,123.9,72,174.3,84,10.1,6,1,237,6825.7,No
0187-QSXOE,Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,No,0,115.9,87,111.3,56,170.2,77,7.1,4,1,225,605.5,No
0187-WZNAB,Female,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No,No,0,125.3,84,167.6,121,260.6,94,8.4,4,1,304,1972.4,No
0188-GWFLE,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,No,0,176.4,115,158.8,128,306.6,107,9.3,3,4,357,33.7,No
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,No,0,212,121,31.2,115,293.3,78,12.6,10,3,327,2111.3,No
0206-OYVOC,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,Yes,Yes,44,254.1,127,180.2,108,196.2,129,8.7,4,3,371,864.2,No
0206-TBWLC,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,No,Yes,24,225.5,119,182,108,270.9,106,9.4,2,3,338,6049.5,No
0207-MDKNV,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,No,No,0,180.6,92,190.9,114,295.6,125,10.3,4,1,336,1582.8,Yes
0208-BPQEJ,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),Yes,Yes,35,174.8,127,219.6,93,255.8,90,12.8,3,0,313,198.1,No
0215-BQKGS,Male,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),No,Yes,23,154,114,278,137,228.4,112,11.8,4,2,369,2438.6,No
0219-QAERP,Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),No,No,0,136.7,106,228.6,105,265.3,114,9.8,4,0,329,576.7,No
0221-NAUXK,Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),No,No,0,155.3,75,169.9,87,207,133,12.6,5,2,302,219.5,No
0221-WMXNQ,Male,1,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,No,No,0,162.6,83,152.3,109,57.5,122,14.2,3,1,318,273.4,No
0224-NIJLP,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,No,No,0,166,102,236.1,97,134.3,93,10.9,4,1,297,165.5,No
0224-RLWWD,Female,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,No,Yes,38,170.1,124,193.3,116,105.9,73,12.8,4,1,318,89.3,No
0225-ZORZP,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,No,No,0,152.5,131,252.4,107,185.4,104,4.9,3,2,347,235.1,No
0229-LFJAF,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),No,No,0,86.3,84,238.7,99,238.4,79,12.5,1,2,265,4908.3,No
0235-KGSLC,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),No,No,0,249.8,96,261.9,92,166.8,108,12.7,4,3,303,85.6,Yes
0247-SLUJI,Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,No,0,114.3,100,221.1,103,126.3,88,10.9,9,0,300,19.7,No
0248-PGHBZ,Female,1,No,No,67,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),No,No,0,144.5,107,180.5,85,226,94,17,6,2,294,6140.9,No
0254-FNMCI,Female,0,No,No,72,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,No,No,0,126.1,112,274.7,126,184.4,95,9.8,4,1,338,7624.2,No
0254-WWRKD,Female,0,Yes,Yes,67,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),No,Yes,38,163.3,104,136,114,249.1,127,4.3,6,0,351,3431.8,No
0256-LTHVJ,Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,No,0,171.5,99,160,103,212.4,102,5,2,1,307,2227.1,Yes
0257-ZESQC,Female,1,Yes,No,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,No,0,130.7,113,260.6,122,244.2,98,9.4,2,2,337,1929.4,Yes
0258-NOKBL,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,No,No,0,134.3,98,202.3,109,195.9,100,12.6,5,2,314,268.5,No
0260-ZDLGK,Female,0,No,Yes,9,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,No,No,0,225.9,86,275.6,105,201.4,108,14.3,3,3,305,651.4,Yes
0264-CNITK,Female,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No,No,0,159.1,104,269.8,106,220.4,116,10.3,4,1,331,1389.6,No
0265-PSUAE,Female,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),No,No,0,175.9,105,188.3,88,188.3,98,11,6,1,298,1522.7,No
0268-QKIWO,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,Yes,No,0,345.3,81,203.4,106,217.5,107,11.8,8,1,303,58.9,Yes
0277-BKSQP,Male,0,Yes,Yes,8,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,No,Yes,31,193,99,224.8,87,197.6,91,10.3,8,2,287,475.1,No
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,No,0,61.6,117,77.1,85,173,99,8.2,7,4,312,113.9,Yes
0281-CNTZX,Male,0,Yes,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),No,No,0,232.5,74,181.8,142,203.1,86,10.4,6,4,312,1234.8,No
0285-INHLN,Male,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),No,Yes,30,58.8,104,219.5,107,152.3,118,7.1,3,0,332,1510.3,No
0289-IVARM,Female,0,No,No,35,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,No,No,0,220,114,207.7,76,168.4,137,12.1,3,2,332,1982.6,No
0295-QVKPB,Male,0,No,No,5,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),No,No,0,194.1,121,176.6,110,302.8,136,7,7,2,376,318.1,No
0297-RBCSG,Male,0,No,No,19,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),No,Yes,36,141.7,121,232.3,113,222.1,131,12,5,1,371,1231.9,No
0301-KOBTQ,Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),No,No,0,138.3,116,236,138,179.1,110,9.6,4,3,371,614.5,No
0303-UNCIP,Male,0,No,No,41,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,No,No,0,129.3,103,202.8,89,233,126,12.9,2,2,322,2531.8,No
0303-WMMRN,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,No,No,0,89.7,80,179.8,81,145.7,120,9.5,4,2,287,86.1,No
0306-JAELE,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,No,0,264.8,124,245.4,112,160.5,115,14.8,2,1,354,453.4,Yes
0307-BCOPK,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,No,Yes,35,190.8,100,261.3,93,209.5,108,8.9,6,0,307,326.7,No
0310-SUCIN,Female,0,Yes,No,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),No,Yes,33,159.1,106,149.8,101,213.4,108,13,18,1,334,6046.1,No
0310-VQXAM,Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,No,0,118.7,90,205.1,57,172.2,100,10.4,6,3,256,178.8,No
0311-QYWSS,Female,0,No,No,6,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,No,No,0,161.5,123,214.2,81,315,106,8.6,5,1,316,314.6,No
0311-UNPFF,Female,0,No,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),No,No,0,279.3,104,201.6,87,280.8,99,7.9,2,2,294,2274.4,Yes
0314-TKOSI,Female,0,No,No,6,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,No,No,0,154.2,119,110.2,98,227.4,117,9.2,5,2,341,322.9,No
0315-LVCRK,Male,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,No,No,0,211.8,115,260.5,102,144.2,96,10.8,7,0,320,888.8,No
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),No,Yes,37,220,80,217.3,102,152.8,71,14.7,6,3,262,973.4,No
0319-QZTCO,Female,0,Yes,Yes,3,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),No,Yes,31,143.1,88,236.6,65,227.8,120,11.4,5,2,280,168.6,No
0320-DWVTU,Female,0,No,No,53,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,No,No,0,104.9,111,198.5,120,258.2,91,8,5,2,329,5424.3,No
0320-JDNQG,Male,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,No,0,289.8,101,255.6,115,242.8,76,11.7,4,2,298,2331.3,Yes
0322-CHQRU,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,Yes,No,0,222.4,78,327,111,208,104,8.7,9,1,303,89.5,Yes
0322-YINQP,Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,No,No,0,134.4,106,211.3,98,193.6,125,10.2,2,5,336,48.6,Yes
0323-XWWTN,Male,0,No,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,No,Yes,26,137.1,88,155.7,125,247.6,94,11.5,7,2,316,121.3,No
0330-IVZHA,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,No,Yes,30,153.4,90,151.4,97,153.8,97,12.8,4,4,292,330.2,Yes
0336-PIKEI,Male,1,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),No,No,0,111,51,219.8,84,202,89,4.4,14,1,239,5360.8,No
0347-UBKUZ,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,No,0,205.7,123,214.5,108,226.1,106,6.7,18,1,356,320.5,No
0354-VXMJC,Male,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No,No,0,97.6,98,105.5,118,220.2,105,11.6,9,1,331,426.7,No
0354-WYROK,Female,1,Yes,Yes,31,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,No,0,166.7,61,179.3,88,242.7,131,6.8,7,4,291,2911.3,Yes
0356-ERHVT,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No,Yes,29,222.6,81,190.3,109,201.2,87,11.5,2,1,280,521.9,No
0356-OBMAC,Female,1,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),No,No,0,224,99,210.7,80,231.9,75,2.1,5,0,259,5706.3,No
0357-NVCRI,Female,0,No,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),No,No,0,210.6,117,164.2,103,201.4,68,9.4,5,0,293,471.7,No
0362-RAOQO,Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No,No,0,102.8,74,281.7,125,228.1,113,13.2,5,2,319,830.3,No
0365-GXEZS,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,No,No,0,164.6,110,270.6,103,230.4,109,8,3,0,325,1468.8,No
0366-NQSHS,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,No,0,183.8,111,123.5,92,160.7,105,6.1,2,1,311,46.4,No
0369-ZGOVK,Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),No,No,0,164.5,75,147.9,118,252.7,97,11.2,2,0,292,1992.2,No
0374-AACSZ,Female,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,No,No,0,145.5,116,228.4,110,273.4,91,8.9,8,1,326,50.2,No
0374-FIUCA,Male,0,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),No,No,0,207,90,232.9,83,172.4,108,9.1,8,3,292,1414.5,No
0374-IOEGQ,Female,0,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,No,No,0,201.5,123,129.2,110,220.6,98,12.9,4,1,336,122.7,No
0376-OIWME,Male,0,Yes,No,36,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,No,0,157.9,103,259.6,90,230,117,14,2,0,312,3366.1,No
0377-JBKKT,Male,0,Yes,Yes,22,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,No,Yes,25,215.1,140,197.4,69,162.1,117,10.6,10,1,337,1271.8,No
0379-DJQHR,Male,0,Yes,Yes,67,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),No,Yes,29,150.1,109,264.7,103,178.4,97,5.8,4,1,314,5398.6,No
0380-NEAVX,Male,1,No,No,34,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,No,Yes,35,215.9,106,200.6,107,195.4,107,15.5,7,0,327,3343.2,No
0380-ZCSBI,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),No,No,0,208,125,198.9,76,76.4,97,8.6,6,0,304,198.7,No
0384-RVBPI,Male,0,No,No,20,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),Yes,Yes,26,217.2,138,145.5,111,280.7,76,9.3,3,0,328,1398.6,No
