Acronym,Name,What is it used for,Advantages,Disadvantages
knn_regressor,k nearest neighbors regressor  aka KNN regressor,Same as classifier,same as classifier,same as classifier
lasso,Lasso,"for Regression: The Lasso is a linear model that estimates sparse coefficients. It is useful in some contexts due to its tendency to prefer solutions with fewer non-zero coefficients, effectively reducing the number of features upon which the given solution is dependent. For this reason, Lasso and its variants are fundamental to the field of compressed sensing. Under certain conditions, it can recover the exact set of non-zero coefficients (see Compressive sensing: tomography reconstruction with L1 prior (Lasso)).","Select features, by shrinking co-efficient towards zero.
Avoids over fitting","Intel sklearnex: All parameters except sample_weight != None.
Selected features will be highly biased.
Computationally more expensive than LASSO or Ridge.
For n<<p (n-number of data points, p-number of features), LASSO selects at most n features. LASSO saturates when n<<p
LASSO will select only one feature from a group of correlated features, the selection is arbitrary in nature.
For different boot strapped data, the feature selected can be very different.
Prediction performance is worse than Ridge regression."
linear,Linear Regression,Fitting line of best fit through data,"Simple method  
Good interpretation 
Easy to implement
Can fit multi dimensionsal data too","Intel sklearnex: All parameters except normalize != False and sample_weight != None
Only dense data is supported, #observations should be >= #features.
Generally:
Assumes linear relationship between dependent and independent variables, which is incorrect in most cases    
Sensitive to outliers    
If the number of observations are less, it leads to over fitting, it starts considering noise."
log_reg,alias for Logistic Regression,same as below,same as below,same as below
logistic,Logistic Regression,"Classifier: Generally used for quick binary classification where you want to identify two classes such as ""Cat"" versus ""Dog"". But it can be extended for multi-class classification as well","Doesn’t assume linear relationship between independent and dependent variables.
Dependent variables does not need to be normally distributed.     
No homogeneity of variance assumption required.    
Effective interpretation of results.","Intel sklearnex: suggest solver: ‘lbfgs’ or ‘newton-cg’, 
class_weight:None 
sample_weight:None
Generally:
Requires more data to achieve stability. 
Effective mostly on linearly separable."
logisticregression,alias for Logistic Regression,same as above,same as above,same as above
nearest_neighbors,Nearest Neighbor,"Unsupervised learner:  Unsupervised nearest neighbors is the foundation of many other learning methods, notably manifold learning and spectral clustering. NearestNeighbors implements unsupervised nearest neighbors learning. It acts as a uniform interface to three different nearest neighbors algorithms: BallTree, KDTree, and a brute-force algorithm based on routines in sklearn.metrics.pairwise. The choice of neighbors search algorithm is controlled through the keyword 'algorithm', which must be one of ['auto', 'ball_tree', 'kd_tree', 'brute']. When the default value 'auto' is passed, the algorithm attempts to determine the best approach from the training data. For a discussion of the strengths and weaknesses of each option, see Nearest Neighbor Algorithms.

The principle behind nearest neighbor methods is to find a predefined number of training samples closest in distance to the new point, and predict the label from these. The number of samples can be a user-defined constant (k-nearest neighbor learning), or vary based on the local density of points (radius-based neighbor learning). The distance can, in general, be any metric measure: standard Euclidean distance is the most common choice. Neighbors-based methods are known as non-generalizing machine learning methods, since they simply “remember” all of its training data (possibly transformed into a fast indexing structure such as a Ball Tree or KD Tree).   

Despite its simplicity, nearest neighbors has been successful in a large number of classification and regression problems, including handwritten digits and satellite image scenes. Being a non-parametric method, it is often successful in classification situations where the decision boundary is very irregular.   The classes in sklearn.neighbors can handle either NumPy arrays or scipy.sparse matrices as input. For dense matrices, a large number of possible distance metrics are supported. For sparse matrices, arbitrary Minkowski metrics are supported for searches.","it is unsupervised - requires no y: 
For big data, both  standard tree algorithms will fail when there are millions of points in hundreds of dimensions (or less even). In such cases, you will have to use approximate nearest neighbours algorithms",scklearnex must only use ‘euclidean’ or ‘minkowski’ with p != 2.
nearestneighbors,alias for Nearest Neighbor,same as above,same as above,same as above
nusvc,nuSVC,"Similar to SVC with parameter kernel='linear', but implemented in terms of liblinear rather than libsvm, so it has more flexibility in the choice of    penalties and loss functions and should scale better (to large numbers of    samples).    This class supports both dense and sparse input and the multiclass support    is handled according to a one-vs-the-rest scheme.",it has more flexibility in the choice of    penalties and loss functions and should scale better (to large numbers of    samples).    This class supports both dense and sparse input and the multiclass support    is handled according to a one-vs-the-rest scheme.,
nusvr,nuSVR,Similar to SVR same caveat as above,it has more flexibility in the choice of    penalties and loss functions and should scale better (to large numbers of    samples).    This class supports both dense and sparse input and the multiclass support    is handled according to a one-vs-the-rest scheme.,
pca,Principal Component Analysis (PCA),"Dimensionality reduction. Pre processto reduce dimensions (columns) for kmeans. Think jpeg lossy compression versus raw image as an analogy to lossy data size reduction (columns) for tabular - also though images can use it too. Finds the long axis the corresponds to the most variance of the data, then finds the orthogonal next best axis to experess the next most variances, and so on","PCA can help us improve performance at a very low cost of model accuracy. Other benefits of PCA include reduction of noise in the data, feature selection (to a certain extent), and the ability to produce independent, uncorrelated features of the data.","intel sklearnex: All parameters except svd_solver != ‘full’.
Generally:
PCA tries to place dissimilar data points far apart in a lower dimension representation. But in order to represent high dimension data on low dimension, non-linear manifold, it is important that similar datapoints must be represented close together, which is not what PCA does. This is done efficiently by t-SNE. So, it can efficiently capture the structure of trickier manifolds in the dataset"
random_forest_classifier,Random Forest Classifier,Classifier: A random forest produces good predictions that can be understood easily. It can handle large datasets efficiently. The random forest algorithm provides a higher level of accuracy in predicting outcomes over the decision tree algorithm.,"One third of data is not used for training, hence it can be used for testing.     
High performance and accurate     
Provides feature importance estimate    
Can automatically handle missing values     
No feature scaling is required","Less interpret-ability, black box approach    
Can over fit the data.    
Requires more computational resources    
Prediction time is high"
random_forest_regressor,Random Forest Regressor,Regressor: A random forest produces good predictions that can be understood easily. It can handle large datasets efficiently. The random forest algorithm provides a higher level of accuracy in predicting outcomes over the decision tree algorithm.,"One third of data is not used for training, hence it can be used for testing.     
High performance and accurate     
Provides feature importance estimate    
Can automatically handle missing values     
No feature scaling is required","Less interpret-ability, black box approach    
Can over fit the data.    
Requires more computational resources    
Prediction time is high"
randomforestregressor,alias for Random Forest Regressor,same as above,same as above,same as above
randomrorestclassifier,alias for Random Forest Classifier,same as above,same as above,same as above
ridge,Ridge Regression,Ridge is a linarear regression with an L2 regularizer that helps prevent overfitting. It can do better than linear when there a a few outliers that cause issue for fitting the line,"Trades variance for bias (i.e. in presence of co-linearity, it is worth to have biased results, in order to lower the variance.)
Prevents over fitting","Intel sklearnex: 
All parameters except normalize != False, solver != ‘auto’ and sample_weight != None.
Only dense data is supported, #observations should be >= #features.
Gnerally:
Increaseses bias
Need to select perfect alpha (hyper parameter)
Model interpret-ability is low"
roc_auc_score,ROC AUC score,"Receiver Operator Characteristics (ROC) Area Under the Curve (AUC) is in fact often preferred over accuracy for binary classification for a number of different reasons. 

AUC applies to binary classifiers that have some notion of a decision threshold internally. For example logistic regression returns positive/negative depending on whether the logistic function is greater/smaller than a threshold, usually 0.5 by default. When you choose your threshold, you have a classifier. You have to choose one.

For a given choice of threshold, you can compute accuracy, which is the proportion of true positives and negatives in the whole data set.   

AUC measures how true positive rate (recall) and false positive rate trade off, so in that sense it is already measuring something else. More importantly, AUC is not a function of threshold. It is an evaluation of the classifier as threshold varies over all possible values. It is in a sense a broader metric, testing the quality of the internal value that the classifier generates and then compares to a threshold. It is not testing the quality of a particular choice of threshold.","A simple graphical representation of the diagnostic accuracy of a test: the closer the apex of the curve toward the upper left corner, the greater the discriminatory ability of the test","Intel sklearnex: Parameters average, sample_weight, max_fpr and multi_class are not supported."
set_config,set_config,"We will ignore this one for the course, but it controls validation for finiteness, working memory, etc",,
svc,Support Vector Classifier,"Classification: requires X & y.  It is based on SVM. Advantages: works relatively well when there is a clear margin of separation between classes, more effective in high dimensional spaces where the number of columns is greater than the number of rows, relatively memory efficient. Disadvantages: not suitable for large data sets with millions of rows, not good for  noisy dataset nor when target classes are overlapping.","1. Regularization capabilities: SVM has L2 Regularization feature. So, it has good generalization capabilities which prevent it from over-fitting.   
2. Handles non-linear data efficiently: SVM can efficiently handle non-linear data using Kernel trick.   
3. Solves both Classification and Regression problems: SVM can be used to solve both classification and regression problems. SVM is used for classification problems while SVR (Support Vector Regression) is used for regression problems.   4. Stability: A small change to the data does not greatly affect the hyperplane and hence the SVM. So the SVM model is stable.","1. Choosing an appropriate Kernel function is difficult: Choosing an appropriate Kernel function (to handle the non-linear data) is not an easy task. It could be tricky and complex. In case of using a high dimension Kernel, you might generate too many support vectors which reduce the training speed drastically.    
2. Extensive memory requirement: Algorithmic complexity and memory requirements of SVM are very high. You need a lot of memory since you have to store all the support vectors in the memory and this number grows abruptly with the training dataset size.    
3. Requires Feature Scaling: One must do feature scaling of variables before applying SVM.    
4. Long training time: SVM takes a long training time on large datasets.   5. Difficult to interpret: SVM model is difficult to understand and interpret by human beings unlike Decision Trees."
svr,Support Vector Regressor,Regression: requires X & y. It is based on SVM (Support Vector Machine). Advantages and Disadvantages: same as SVC,"1. Regularization capabilities: SVM has L2 Regularization feature. So, it has good generalization capabilities which prevent it from over-fitting.   
2. Handles non-linear data efficiently: SVM can efficiently handle non-linear data using Kernel trick.   
3. Solves both Classification and Regression problems: SVM can be used to solve both classification and regression problems. SVM is used for classification problems while SVR (Support Vector Regression) is used for regression problems.   4. Stability: A small change to the data does not greatly affect the hyperplane and hence the SVM. So the SVM model is stable.","1. Choosing an appropriate Kernel function is difficult: Choosing an appropriate Kernel function (to handle the non-linear data) is not an easy task. It could be tricky and complex. In case of using a high dimension Kernel, you might generate too many support vectors which reduce the training speed drastically.    
2. Extensive memory requirement: Algorithmic complexity and memory requirements of SVM are very high. You need a lot of memory since you have to store all the support vectors in the memory and this number grows abruptly with the training dataset size.    
3. Requires Feature Scaling: One must do feature scaling of variables before applying SVM.    
4. Long training time: SVM takes a long training time on large datasets.   5. Difficult to interpret: SVM model is difficult to understand and interpret by human beings unlike Decision Trees."
train_test_split,Train Test Split,Data preparation to split data into a training and a test set - helps prevent overfitting.,Easy to implement and interpret. Less time consuming in execution.,"f the dataset is small, keeping a portion for testing would be decrease the accuracy of the predictive model. If the split is not random, the output of the evaluation matrices are inaccurate"
tsne,t-Distributed Stochastic Neighbor Embedding,dimensionality reduction techniques in Machine Learning and efficient tools for data exploration and visualization.,"1. Handles Non Linear Data Efficiently: PCA is a linear algorithm. It creates Principal Components which are the linear combinations of the existing features. So, it is not able to interpret complex polynomial relationships between features. So, if the relationship between the variables is nonlinear, it performs poorly. On the other hand, t-SNE works well on non-linear data. It is a very effective non-linear dimensionality reduction algorithm.  
2. Preserves Local and Global Structure: t-SNE is capable to preserve local and global structure of the data. This means, roughly, that points which are close to one another in the high-dimensional dataset, will tend to be close to one another in the low dimension. On the other hand, PCA finds new dimensions that explain most of the variance in the data. So, it cares relatively little about local neighbors unlike t-SNE.",scklearnex must only use ‘euclidean’ or ‘minkowski’ with p != 2. Sparse data is not supported.
